status,title,doi,authors,year,code,website,keywords,projects,selected
publish,BodySLAM: A Generalized Monocular Visual SLAM Framework for Surgical Applications,10.48550/arxiv.2408.03078,Gianluca Manni; Clemente Lauretti; Francesco Prata; Rocco Papalia; Loredana Zollo; Paolo Soda,2024,,,medical imaging,,FALSE
publish,AI-based methodologies for exoskeleton-assisted rehabilitation of the lower limb: a review,10.3389/frobt.2024.1341580,Omar Coser; Christian Tamantini; Paolo Soda; Loredana Zollo,2024,,,medical imaging,,FALSE
publish,Radiomic Machine-Learning Analysis of Multiparametric Magnetic Resonance Imaging in the Diagnosis of Clinically Significant Prostate Cancer: New Combination of Textural and Clinical Features,10.3390/curroncol30020157,Francesco Prata; Umberto Anceschi; Ermanno Cordelli; Eliodoro Faiella; Angelo Civitella; P. Tuzzolo; Andrea Iannuzzi; Alberto Ragusa; Francesco Esperto; Salvatore Mario Prata; Rosa Sicilia; Giovanni Muto; Rosario Francesco Grasso; Roberto Mario Scarpa; Paolo Soda; Giuseppe Simone; Rocco Papalia,2023,,,radiomics; oncology; medical imaging,,FALSE
publish,RadioPathomics: Multimodal Learning in Non-Small Cell Lung Cancer for Adaptive Radiotherapy,10.1109/access.2023.3275126,Matteo Tortora; Ermanno Cordelli; Rosa Sicilia; Lorenzo Nibid; Edy Ippolito; Giuseppe Perrone; Sara Ramella; Paolo Soda,2023,,,radiomics; oncology; multimodal learning,,FALSE
publish,Named Entity Recognition in Italian Lung Cancer Clinical Reports using Transformers,10.1109/bibm58861.2023.10385778,Domenico Paolo; Alessandro Bria; Carlo Greco; Marco Russano; Sara Ramella; Paolo Soda; Rosa Sicilia,2023,,https://doi.org/10.1109/bibm58861.2023.10385778,oncology; foundation models; medical imaging,,FALSE
publish,MATNet: Multi-Level Fusion Transformer-Based Model for Day-Ahead PV Generation Forecasting,10.48550/arxiv.2306.10356,Matteo Tortora; Francesco Conte; Gianluca Natrella; Paolo Soda,2023,,,foundation models; multimodal learning; medical imaging,,FALSE
publish,Early Experiences on using Triplet Networks for Histological Subtype Classification in Non-Small Cell Lung Cancer,10.1109/cbms58004.2023.00328,Fatih Aksu; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2023,,https://doi.org/10.1109/cbms58004.2023.00328,radiomics; oncology; medical imaging,,FALSE
publish,Deep pathomics: A new image-based tool for predicting response to treatment in stage III non-small cell lung cancer,10.1371/journal.pone.0294259,Lorenzo Nibid; Carlo Greco; Ermanno Cordelli; Giovanna Sabarese; Michele Fiore; Charles Z. Liu; Edy Ippolito; Rosa Sicilia; M. Miele; Matteo Tortora; Chiara Taffon; Mehrdad Rakaee; Paolo Soda; Sara Ramella; Giuseppe Perrone,2023,,,radiomics; oncology; medical imaging,,FALSE
publish,A Comparative Study Between Paired And Unpaired Image Quality Assessment In Low-Dose CT Denoising,10.1109/cbms58004.2023.00264,Francesco Di Feola; Lorenzo Tronchin; Paolo Soda,2023,,https://doi.org/10.1109/cbms58004.2023.00264,medical imaging,,FALSE
publish,Quantib Prostate Compared to an Expert Radiologist for the Diagnosis of Prostate Cancer on mpMRI: A Single-Center Preliminary Study,10.3390/tomography8040168,Eliodoro Faiella; Daniele Vertulli; Francesco Esperto; Ermanno Cordelli; Paolo Soda; Rosa Maria Muraca; Lorenzo Paolo Moramarco; Rosario Francesco Grasso; Bruno Beomonte Zobel; Domiziana Santucci,2022,,,radiomics; oncology; clinical prediction,,FALSE
publish,PyTrack: A Map-Matching-Based Python Toolbox for Vehicle Trajectory Reconstruction,10.1109/access.2022.3216565,Matteo Tortora; Ermanno Cordelli; Paolo Soda,2022,,,clinical prediction; medical imaging,,FALSE
publish,MRI- and Histologic-Molecular-Based Radio-Genomics Nomogram for Preoperative Assessment of Risk Classes in Endometrial Cancer,10.3390/cancers14235881,Veronica Celli; Michele Guerreri; Angelina Pernazza; Ilaria Cuccu; Innocenza Palaia; Federica Tomao; Violante Di Donato; Paola Pricolo; Giada Ercolani; Sandra Ciulla; Nicoletta Colombo; Martina Leopizzi; Valeria Di Maio; Eliodoro Faiella; Domiziana Santucci; Paolo Soda; Ermanno Cordelli; Giorgia Perniola; Benedetta Gui; Stefania Rizzo; Carlo Della Rocca; Giuseppe Petralia; Carlo Catalano; Lucia Manganaro,2022,,,radiomics; oncology; generative AI,,FALSE
publish,Evaluating Tumour Bounding Options for Deep Learning-based Axillary Lymph Node Metastasis Prediction in Breast Cancer,10.1109/icpr56361.2022.9956657,Michela Gravina; Ermanno Cordelli; Domiziana Santucci; Paolo Soda; Carlo Sansone,2022,,https://doi.org/10.1109/icpr56361.2022.9956657,radiomics; oncology; clinical prediction,,FALSE
publish,CNN-Based Approaches with Different Tumor Bounding Options for Lymph Node Status Prediction in Breast DCE-MRI,10.3390/cancers14194574,Domiziana Santucci; Eliodoro Faiella; Michela Gravina; Ermanno Cordelli; Carlo de Felice; Bruno Beomonte Zobel; Giulio Iannello; Carlo Sansone; Paolo Soda,2022,,,radiomics; oncology; clinical prediction,,FALSE
publish,Artificial Intelligence in Bone Metastases: An MRI and CT Imaging Review,10.3390/ijerph19031880,Eliodoro Faiella; Domiziana Santucci; Alessandro Calabrese; Fabrizio Russo; Gianluca Vadalà; Bruno Beomonte Zobel; Paolo Soda; Giulio Iannello; Carlo de Felice; Vincenzo Denaro,2022,,,radiomics; medical imaging,,FALSE
publish,3T-MRI Artificial Intelligence in Patients with Invasive Breast Cancer to Predict Distant Metastasis Status: A Pilot Study,10.3390/cancers15010036,Alessandro Calabrese; Domiziana Santucci; Michela Gravina; Eliodoro Faiella; Ermanno Cordelli; Paolo Soda; Giulio Iannello; Carlo Sansone; Bruno Beomonte Zobel; Carlo Catalano; Carlo de Felice,2022,,,radiomics; oncology; medical imaging,,FALSE
publish,Visual4DTracker: a tool to interact with 3D + t image stacks,10.1186/s12859-020-03820-y,Ermanno Cordelli; Paolo Soda; Giulio Iannello,2021,,,medical imaging,,FALSE
publish,The Impact of Tumor Edema on T2-Weighted 3T-MRI Invasive Breast Cancer Histological Characterization: A Pilot Radiomics Study,10.3390/cancers13184635,Domiziana Santucci; Eliodoro Faiella; Ermanno Cordelli; Alessandro Calabrese; Roberta Landi; Carlo de Felice; Bruno Beomonte Zobel; Rosario Francesco Grasso; Giulio Iannello; Paolo Soda,2021,,,radiomics; oncology; medical imaging,,FALSE
publish,A radiomic approach for adaptive radiotherapy in non-small cell lung cancer patients,10.1371/journal.pone.0207455,Sara Ramella; Michele Fiore; Carlo Greco; Ermanno Cordelli; Rosa Sicilia; Mario Merone; E. Molfese; M. Miele; Patrizia Cornacchione; Edy Ippolito; Giulio Iannello; Rolando Maria D’Angelillo; Paolo Soda,2018,,,radiomics; oncology; clinical prediction,,FALSE
